,address_column_name,ciudad
0,, HADJIN
1,,(ILE)AB
2,,(ILE)LNO
3,,(ILE)ME
4,,(ILEG)DEA
5,,(ILEG)JANO
6,,(ILEG)NIK
7,,(ILEG)SUAN
8,,(ILEG)TAM
9,,(INC)DGORA
10,,(INC)LOG
11,,(INC)YRNE
12,,(INC.) HAMMOUD
13,,(INC.) HERCHE
14,,(INC.)AFE
15,,(INC.)AN
16,,(INC.)BA
17,,(INC.)CKA
18,,(INC.)IOCI
19,,(INC.)OBORCI
20,,(INC.)STAVSKI
21,,(INC.)TA
22,,(INC.)TINE
23,,(INC.)TRSTOVAC
24,,(INC.)UME
25,,(INC.)VAC
26,,. M. V. POLJU
27,,A(INC.)RONICK
28,,A. CARIGROD
29,,A. MINEURE
30,,A.HUMAC
31,,AARON
32,,AB ELIAS
33,,ABA
34,,ABADATE
35,,ABASSIEH
36,,ABAT
37,,ABATIN
38,,ABATYN
39,,ABAZIA
40,,ABBASSIN
41,,ABBAZIA
42,,ABDELLI
43,,ABDINE
44,,ABDINO
45,,ABDO BAYADE
46,,ABEF
47,,ABEL
48,,ABEY
49,,ABLAH
50,,ABLAT
51,,ABRA
52,,ABRENE
53,,ABRIJE
54,,ABRINE
55,,ABUENRA
56,,ABYTUS
57,,ACCA
58,,ACCAAR
59,,ACCUE EL BETTA
60,,ACHA
61,,ACHAMAN
62,,ACHEISAR
63,,ACHEK
64,,ACHEK OMAR
65,,ACHKA
66,,ACHKOUF
67,,ACHKOUT
68,,ACHKUT
69,,ACHUED
70,,ACKONTE
71,,ACOULAIKA
72,,ACRE
73,,ACREHIR
74,,ACSEHIR
75,,ACUENIC
76,,ACUPAL
77,,ADA
78,,ADA BAZAR
79,,ADA PAZAR
80,,ADA PETE
81,,ADA ZOZAR
82,,ADAAD
83,,ADABAGA
84,,ADABAJAR
85,,ADABASAR
86,,ADABASIA
87,,ADABAZAN
88,,ADABAZAR
89,,ADABJAR
90,,ADAHA
91,,ADAIDE
92,,ADAIDEH
93,,ADAIDI
94,,ADAISSE
95,,ADALIA
96,,ADAMA
97,,ADAMAS
98,,ADAME
99,,ADAMO
100,,ADANA
101,,ADANA(INC.)
102,,ADANO
103,,ADAPASAR
104,,ADAPASCAR
105,,ADAPASUA
106,,ADAPAZA
107,,ADAPAZAR
108,,ADAPAZARE
109,,ADAR NASAR
110,,ADARRE
111,,ADASENTA
112,,ADASEVCI
113,,ADATIAS
114,,ADAYASE
115,,ADAYDE
116,,ADCHITE
117,,ADEDDE
118,,ADEIDE
119,,ADEJE
120,,ADELIA
121,,ADEMA
122,,ADEMIS
123,,ADEN
124,,ADENA
125,,ADERCA VELESOVO
126,,ADERGAS
127,,ADIANAN
128,,ADIRNA
129,,ADITOS
130,,ADJINE
131,,ADJOVSCINA
132,,ADLEB
133,,ADLESICI
134,,ADMA
135,,ADMOUN
136,,ADNO
137,,ADOIDE
138,,ADOLFOVOSELO
139,,ADONA
140,,ADOUD
141,,ADOVICIC
142,,ADRA
143,,ADRIANAPOLIS
144,,ADRIANOPEL
145,,ADRIANOPLA
146,,ADRIANOPLE
147,,ADRIANOPOL
148,,ADRIANOPOLI
149,,ADRIANOPOLIS
150,,ADRIJANCI
151,,ADRINOPOLIS
152,,ADROUN
153,,ADRUD
154,,ADSZACI
155,,ADUAMIAN
156,,ADZACI
157,,ADZAMONCI
158,,AEINTAB
159,,AEN CUZEY
160,,AERDOVIK
161,,AESSEGG
162,,AETANINT
163,,AETNTAN
164,,AETOS
165,,AEURA
166,,AFARAY
167,,AFDRIJANCI
168,,AFFILA
169,,AFGORA
170,,AFIAN
171,,AFILENKENDA
172,,AFIM KARAKISSA
173,,AFION
174,,AFION CAUNISAR
175,,AFIONKARAHI
176,,AFIORIN
177,,AFIOUN
178,,AFIUM
179,,AFOUR EL ARBI
180,,AFRAN
181,,AFRON CARAHICHER
182,,AFSDIK
183,,AFSEDIEK
184,,AFULLA
185,,AGA
186,,AGARAC
187,,AGHADINE
188,,AGHBINE
189,,AGIARO
190,,AGINCI
191,,AGIORI KARAHISSAN
192,,AGIOS VASILIOS
193,,AGISALAE
194,,AGJACI
195,,AGOP
196,,AGOUSTOS
197,,AGRAM
198,,AGRANN
199,,AGRICULTOR
200,,AGUAS CALIENTES
201,,AGULIN
202,,AGULM
203,,AGUTIN
204,,AHBBOUCHE
205,,AHECHEHIR
206,,AHHISAR
207,,AHHIZAR
208,,AHIK
209,,AHMEIS
210,,AIBD DEIB
211,,AICHE
212,,AIDAP
213,,AIDIM
214,,AIDIN
215,,AIDINE
216,,AIDINION
217,,AIDUSINA
218,,AIDUSSINA
219,,AIFIM
220,,AIFION
221,,AIHA
222,,AIHLAS
223,,AIJEL EL YACHE
224,,AIL.EL.COREO
225,,AILIA
226,,AILNTEB
227,,AIM CHAMS
228,,AIM CHEMS
229,,AIM DUBECHE
230,,AIM EL HONVAR
231,,AIM KABRERA
232,,AIM KARIM
233,,AIM REUMAN
234,,AIM ZHATTA
235,,AIMATA
236,,AIMON
237,,AIMOUN
238,,AIN
239,,AIN ADA
240,,AIN AHFAD
241,,AIN AKRIN
242,,AIN AL BUDA
243,,AIN AL CHAMASSE
244,,AIN ALAKIN
245,,AIN ALTA
246,,AIN ARAB
247,,AIN ATA
248,,AIN BACHR
249,,AIN BACHRITE
250,,AIN BACHRITENO
251,,AIN BALOUJA
252,,AIN BALOUTE
253,,AIN BATO
254,,AIN BECHRITA
255,,AIN BOSTAN
256,,AIN BOSTON
257,,AIN BOWSDAJ
258,,AIN CHAMS
259,,AIN CHEMALI
260,,AIN CHEMS
261,,AIN CLAMA
262,,AIN DABECHE
