,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,APPROXIMATE,"Mostar 88000, Bosnia and Herzegovina",ChIJqUBjO6RDSxMRWnzj1LIyTwE,MOSDTAR,43.34377480000001,17.8077578,1,88000,OK,"locality,political"
1,APPROXIMATE,"Mose, ND 58416, USA",ChIJ2yzL-VIwxVIRqvE5xuULQYQ,MOSE,47.57860789999999,-98.45482129999999,1,58416,OK,"locality,political"
2,,,,MOSECHALAG,,,0,,ZERO_RESULTS,
3,,,,MOSEVICA,,,0,,ZERO_RESULTS,
4,,,,MOSHATON,,,0,,ZERO_RESULTS,
5,,,,MOSINCI,,,0,,ZERO_RESULTS,
6,APPROXIMATE,"Moscow, Russia",ChIJybDUc_xKtUYRTM9XV8zWRD0,MOSKA,55.755826,37.6172999,1,,OK,"locality,political"
7,,,,MOSLAV,,,0,,ZERO_RESULTS,
8,,,,MOSLAVA,,,0,,ZERO_RESULTS,
9,APPROXIMATE,"31530, Moslavina, Croatia",ChIJ1xMIBlVbXUcRVuidwXNbXWw,MOSLAVINA,45.783333,17.9833329,2,31530,OK,"locality,political"
10,APPROXIMATE,"Mosonmagyaróvár, Moson County, 9200 Hungary",ChIJaTGB0dV3bEcRgbu7mRQe49g,MOSON,47.8571039,17.260456,1,9200,OK,"political,sublocality,sublocality_level_1"
11,APPROXIMATE,"Mosul, Iraq",ChIJuYga22SUB0ARMAkP3U7XRZc,MOSSOUL,36.3566484,43.1640004,1,,OK,"locality,political"
12,APPROXIMATE,"Mosul, Iraq",ChIJuYga22SUB0ARMAkP3U7XRZc,MOSSUL,36.3566484,43.1640004,1,,OK,"locality,political"
13,ROOFTOP,"500 S Franklin St, Syracuse, NY 13202, USA",ChIJZ41sr8Dz2YkR8-pQ147C1Lg,MOST,43.04709829999999,-76.1555908,2,13202,OK,"electronics_store,establishment,home_goods_store,movie_theater,museum,point_of_interest,store"
14,APPROXIMATE,"Moštanica, Croatia",ChIJ77V3VaTpZkcRQpk2U1GtACY,MOSTANICE,45.3635702,16.3492091,1,,OK,"locality,political"
15,APPROXIMATE,"Mostar 88000, Bosnia and Herzegovina",ChIJqUBjO6RDSxMRWnzj1LIyTwE,MOSTAR,43.34377480000001,17.8077578,1,88000,OK,"locality,political"
16,APPROXIMATE,"Mostar, Bosnia and Herzegovina",ChIJSxsfo51GSxMRGBN7f85rhOU,MOSTAR (CROACIA),43.4068618,17.811,1,,OK,"administrative_area_level_3,political"
17,,,,MOSTARC,,,0,,ZERO_RESULTS,
18,APPROXIMATE,"Mostar 88000, Bosnia and Herzegovina",ChIJqUBjO6RDSxMRWnzj1LIyTwE,MOSTARE,43.34377480000001,17.8077578,1,88000,OK,"locality,political"
19,,,,MOSTAZ,,,0,,ZERO_RESULTS,
20,APPROXIMATE,"Most, Czechia",ChIJBe763psfCkcRUHwVZg-vAAQ,MOSTE,50.5015549,13.6329122,2,,OK,"locality,political"
21,,,,MOSTEH,,,0,,ZERO_RESULTS,
22,APPROXIMATE,"Moster, Bømlo, Norway",ChIJ__nZvTiAO0YRYqphaiGzbtA,MOSTER,59.70247729999999,5.3458565,2,,OK,"establishment,natural_feature"
23,ROOFTOP,"4435 Sunset Blvd, Steubenville, OH 43952, USA",ChIJpdLYPcIxNIgR74rNKu0t9z4,MOSTI,40.37293349999999,-80.68265749999999,1,43952,OK,"establishment,funeral_home,point_of_interest"
24,APPROXIMATE,"9220 Mostje, Slovenia",ChIJDYdu1bA1b0cRy4f1AuoAy7M,MOSTJE,46.6019426,16.428125,1,9220,OK,"locality,political"
