,address_column_name,ciudad
13257,,MOSDTAR
13258,,MOSE
13259,,MOSECHALAG
13260,,MOSEVICA
13261,,MOSHATON
13262,,MOSINCI
13263,,MOSKA
13264,,MOSLAV
13265,,MOSLAVA
13266,,MOSLAVINA
13267,,MOSON
13268,,MOSSOUL
13269,,MOSSUL
13270,,MOST
13271,,MOSTANICE
13272,,MOSTAR
13273,,MOSTAR (CROACIA)
13274,,MOSTARC
13275,,MOSTARE
13276,,MOSTAZ
13277,,MOSTE
13278,,MOSTEH
13279,,MOSTER
13280,,MOSTI
13281,,MOSTJE
13282,,MOSTOV
13283,,MOSTQAR
13284,,MOSTRAVA
13285,,MOSUCHE
13286,,MOSUL
13287,,MOSUM
13288,,MOTHKULEE
13289,,MOTIEZ
13290,,MOTKE
13291,,MOTLIKA
13292,,MOTOLOVICE
13293,,MOTOM
13294,,MOTOVA
13295,,MOTOVILCI
13296,,MOTSKI
13297,,MOUADDAME
13298,,MOUALAKA
13299,,MOUARA
13300,,MOUARET
13301,,MOUARRA
13302,,MOUCHE
13303,,MOUD LIBANO
13304,,MOUESTOR
13305,,MOUHAIRE
13306,,MOUHARDE
13307,,MOUJAIRE
13308,,MOUKAABRA
13309,,MOUKHARAH
13310,,MOUNT LEBONAN
13311,,MOUNT LIBANON
13312,,MOUNT LIBAU
13313,,MOURAKEIB
13314,,MOUROL
13315,,MOUSAIR EL SHOUF
13316,,MOUZISTE
13317,,MOVE SOVE
13318,,MOZORIN
13319,,MOZRAT
13320,,MOZUL
13321,,MRACAJ
13322,,MRACIN
13323,,MRAJ
13324,,MRAKRAZE
13325,,MRAMORAC
13326,,MRAMORAK
13327,,MRAVINCI
13328,,MRAVINJAC
13329,,MRAVINJAK
13330,,MRAVORATZ
13331,,MRAY
13332,,MRAZOVAI
13333,,MRCINE
13334,,MRCOTALJ
13335,,MREIKEB
13336,,MRELJIM
13337,,MRICHTE
13338,,MRKOLOLJ
13339,,MRKOPAIJ
13340,,MRKOPALI
13341,,MRKOPALJ
13342,,MRKOPELJ
13343,,MRLJANE
13344,,MROUGE
13345,,MRYAMMI
13346,,MRZLOPOLJE
13347,,MRZOVIC
13348,,MT. LEBAUN
13349,,MTA. LIBANA
13350,,MTAYLA
13351,,MTEIA
13352,,MTEIN
13353,,MU(ILEG)TA
13354,,MUC
13355,,MUC DORJE
13356,,MUC. SPALATO
13357,,MUCHALA S.
13358,,MUDAGUA
13359,,MUG- SID
13360,,MUGHAR
13361,,MUHABER
13362,,MUINE
13363,,MUKOSICA
13364,,MUKRAVO
13365,,MULKI
13366,,MUNAT
13367,,MUNCHER
13368,,MUNDENHEIM
13369,,MUNSKA GREBA
13370,,MUO CATTARO
13371,,MUR. SREDISCE
13372,,MURACH
13373,,MURACHE
13374,,MURADIO
13375,,MURAJ
13376,,MURAUCE
13377,,MURDAN
13378,,MURDICE
13379,,MUREK
13380,,MURESKA SUBOTA
13381,,MURINA
13382,,MURSESA
13383,,MURSKA
13384,,MURSKA SOBOTA
13385,,MURSKA SRED.
13386,,MURSKA SUBOTA ESLOVENIA
13387,,MURSKA-SOBATA
13388,,MURSKAZUBUTA
13389,,MURSKO
13390,,MURSKO SREDISCE
13391,,MURSKO SRELISCE
13392,,MURTA
13393,,MURTER
13394,,MURTERA
13395,,MURTORA
13396,,MURUSCHATS
13397,,MURVIC
13398,,MURVICA
13399,,MURVICE
13400,,MUSHKA
13401,,MUSIC
13402,,MUSITON
13403,,MUSJE
13404,,MUSOLUK
13405,,MUSSIAN
13406,,MUSTAD
13407,,MUSZ
13408,,MUTA
13409,,MUTA SLOVENIA
13410,,MUTILIC
13411,,MUZINA
13412,,MUZJLA
13413,,MUZLJA
13414,,MYDIN
13415,,MYEAT
13416,,MYOUI
13417,,MYSLOWITZ
13418,,MZABBE
13419,,MZBLE
13420,,MZOUMMAR
13421,,MZRLA LUZA
13422,,N
13423,,N CHIR
13424,,N KANGILIN
13425,,N KANGIZE
13426,,N' BABE
13427,,N'KAIR
13428,,N(INC.)
13429,,N. BARACKA
13430,,N. BECEJ
13431,,N. BETCHEI
13432,,N. CHIR
13433,,N. CRUJA
13434,,N. FALOJ
13435,,N. FUTOG
13436,,N. GAJDOBRA
13437,,N. GRADISKA
13438,,N. KANEZCE
13439,,N. KANJIZA
